article_id,article_url,city,article_title,article_description,article_image
trfykh9ngakrff6wfv3d0d36ofe9martcl,https://kumparan.com/berita-terkini/mengenal-gunung-leuser-taman-nasional-di-indonesia-di-aceh-211OGymMuFm/2,Aceh,"Mengenal Gunung Leuser, Taman Nasional di Indonesia di Aceh","Taman Nasional Gunung Leuser adalah salah satu dari enam taman nasional yang terletak di Pulau Sumatera, Indonesia. Taman nasional ini merupakan salah satu kawasan lindung yang penting bagi flora dan fauna endemik, termasuk spesies langka seperti orangutan Sumatera, harimau Sumatera, dan gajah Sumatera.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Taman_Nasional_Gunung_Leuser.jpg/375px-Taman_Nasional_Gunung_Leuser.jpg
trfyk0fw0x58ixy4b7s3gu73wioonartcl,https://tabloidsinartani.com/detail/indeks/agri-usaha/20521-Hoco-Coffee-Kedai-Kopi-Arabika-dengan-Suasana-Rumahan,Aceh,"Hoco Coffee, Kedai Kopi Arabika dengan Suasana Rumahan","Aceh telah lama dikenal dengan julukan 1001 kedai kopi, hingga sekarang konsep kedai kopi di Aceh pun semakin beragam. Tidak terkecuali dengan Hoco Coffee atau House of Coffee yang tampil unik menggunakan bangunan rumah 1990-an dengan perabot dan hiasan yang tidak kalah klasik. Tampilan tua dan klasik ini semakin menarik dengan tambahan aksen batu bata yang dibiarkan terbuka di beberapa tembok sehingga menjadi ajang swafoto bagi konsumen yang hadir.",https://assets.pikiran-rakyat.com/crop/0x0:0x0/x/photo/2023/10/29/4276404227.jpg
trfyqgbg1aalnpk1b6vjkzilv2hqhartcl,https://disparda.baliprov.go.id/keunikan-desa-wisata-penglipuran-bali-yang-perlu-di-ketahui-wisatawan/2022/06/,Bali,"Keunikan Desa Wisata Penglipuran-Bali, yang perlu di Ketahui Wisatawan.","Desa Wisata Penglipuran adalah sebuah desa wisata yang terletak di Kabupaten Bangli, Bali, Indonesia. Desa ini terkenal karena keindahan arsitektur tradisional Bali dan kelestariannya yang terjaga dengan baik. Penglipuran sering dijuluki sebagai ""desa adat Bali yang terbersih"" karena kepedulian warganya terhadap kebersihan dan kerapian desa.",https://lovebali.baliprov.go.id/storage/touriest_destinations/img-15959947935f20f2a929f60.jpg
trfy8r65pcoehzhplxvbq72z7jt8zartcl,https://www.psbb.id/news/detail/829/ayam-betutu-cita-rasa-warisan-budaya-tak-benda-nasional,Bali,"Ayam Betutu, Cita Rasa Warisan Budaya Tak Benda Nasional","Ayam betutu merupakan masakan khas dari Bali. Menurut ahli Gastronomi, Betutu adalah garis walacenya seni kuliner nusantara. Pembatas antara Seni makanan Barat dan Timur Di Indonesia. Peralihan dari makanan manis di Jawa, ke makanan pedas di Timur. Betutu sudah mendapat penetapan sebagai Warisan Budaya Tak benda (WBTB) Indonesia.",https://ibunia.com/wp-content/uploads/2021/05/Ayam-betutu-mendapatkan-sertifikat-halal-MUI-Bali.jpg
trfy6mj34r59e7tz0y2insdmlwz1vartcl,https://kumparan.com/seputar-bandung/sensasi-seru-rafting-di-sungai-palayangan-bandung-228ZFx3smZX,Bandung,"Sensasi Seru Rafting di Sungai Palayangan, Bandung","Sungai Palayangan terletak di Kawasan Objek Wisata Situ Cileunca Pangalengan Kab. Bandung, sekitar 45 Km atau kurang lebih 2 jam perjalanan dari pusat Kota Bandung. Adalah lokasi Arung Jeram yang paling Populer di Kawasan Bandung Selatan karena memiliki beberapa kelebihan dibandingkan dengan sungai-sungai yang lain.",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhZQPrlcaXHbjMbfJMJNXes2wcKIYc8xn0qXVZyNZuAk0qmGXuuLehlZXE1JDRLbcf49BOdhgWq9azfh183HZQAXo475KnEsNCnDu2vr8L0_235MeXtqY2Y6mlmaYXirLWWbvocjyqA-IQq/s1600/rafting-di-sungai-palayangan-bandug+(1).jpg
trfycni7uwaux64s1jj28h0ezgsatartcl,https://kumparan.com/seputar-bandung/de-sanirasa-menikmati-makanan-khas-sunda-dan-western-di-teras-rindang-22f6aqoDW4b,Bandung,"De Sanirasa, Menikmati Makanan Khas Sunda dan Western di Teras Rindang","De Sanirasa adalah restoran yang terletak di wilayah Bandung Utara. Tempat makan ini menyediakan makanan khas Indonesia dan juga makanan Western. Tempat makan ini juga sangat aesthetic dan instagramable, sehingga cocok menjadi latar berfoto.",https://dzglkev4c34xb.cloudfront.net/horego.com/coblong/restaurant/de-sanirasa-restoran-nusantara-bandung/main_banner/thumbnail/af1qipp_xdyfcyqyxjx3enizlta2jnvbtiiqjgkyvuew.jpg
trfy0w9xd29daju5abhyufg27kqi4artcl,https://travel.kompas.com/read/2020/08/13/090900827/9-tempat-wisata-di-taman-nasional-ujung-kulon-yang-bisa-dikunjungi?page=all,Banten,9 Tempat Wisata di Taman Nasional Ujung Kulon yang Bisa Dikunjungi,"Taman nasional ini terkenal karena keindahan alamnya, termasuk hutan hujan tropis, pantai-pantai yang eksotis, dan keanekaragaman hayati yang melimpah. Selain itu, Taman Nasional Ujung Kulon juga menjadi tempat perlindungan bagi spesies langka seperti badak bercula satu.",https://asset.kompas.com/crops/5-idlTwvFmb2zgV_z3DdCaM9qAU=/91x86:943x654/750x500/data/photo/2020/07/25/5f1bd7a977d15.jpg
trfy1104ty3exw813xeyji5yc5z8fartcl,https://www.traveloka.com/id-id/explore/culinary/makanan-khas-banten-acc/84116,Banten,Makanan Khas Banten yang Wajib Kamu Icip,"Banten punya banyak tempat wisata. Dekatnya provinsi ini dengan Jawa Barat dan juga DKI Jakarta, membuat Banten menjadi tempat untuk refreshing sejenak. Pantai Tanjung Lesung, Pantai Carita, Pantai Sawarna, dan juga Taman Nasional Ujung Kulon, sering kali jadi tempat semacam short escape bagi penduduk ibu kota. Namun jangan salah, selain tempat wisata, Banten juga punya daya tarik yang lain, yakni makanan khasnya.","https://ik.imagekit.io/tvlk/blog/2021/06/sate-bandeng-_shutterstock_1893274882.jpg?tr=dpr-2,w-675"
trfy43uvdjsbpbr4c42yb9odkpmu6artcl,https://travel.detik.com/domestic-destination/d-7306543/kilas-balik-perjalanan-mangunan-jadi-desa-wisata-tersohor,Bantul,Kilas Balik Perjalanan Mangunan Jadi Desa Wisata Tersohor,"Desa Wisata Mangunan terletak di Kabupaten Bantul, Yogyakarta, Indonesia. Desa wisata ini terkenal dengan keindahan alamnya yang asri, terutama pemandangan dari bukit Mangunan yang mempesona. Di Desa Wisata Mangunan, pengunjung dapat melakukan berbagai aktivitas seperti hiking, camping, atau sekadar menikmati keindahan alam yang menakjubkan.",https://akcdn.detik.net.id/community/media/visual/2024/04/23/kebun-buah-mangunan-bantul-yogyakarta_169.jpeg?w=700&q=90
trfy6lmt9wgreiv1ugcdcf505q8y9artcl,https://www.detik.com/jogja/kuliner/d-7018956/7-rekomendasi-kuliner-seafood-di-jogja-dijamin-nggak-nyesel,Bantul,"7 Rekomendasi Kuliner Seafood di Jogja, Dijamin Nggak Nyesel!","Kota Jogja terkenal dengan kuliner tradisionalnya, misalnya saja menu legendaris seperti gudeg, sate klatak, hingga mangut lele telah tersebar ke berbagai penjuru. Namun, nyatanya Jogja juga memiliki segudang pilihan resto untuk menikmati seafood yang enak, lho!",https://asset-2.tstatic.net/jogja/foto/bank/images/udang-sarang-madu-balae-ayu-giwangan.jpg
