tourism_id,tourism_name,tourism_description,category,city,price,rating,tourism_location,tourism_image,tourism_gmaps,latlong,latitude,longitude
tfyjahxuef2gkpi4ab9dty3oxw7ac6nyti57l58if3duudjsbpar3mn,3 Wise Monkeys,Restoran Jepang,ctgry7hc1oq4or1ymwddw2bu8uan5ntfry089,Jakarta,"550,000.00",4.5,"Jl. Senopati No.46, Selong, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190",https://lh3.googleusercontent.com/p/AF1QipOZVQo8W62Ogr_CZ7WDoG2AgNexiZbAKsEnxVQA=s1360-w1360-h1020,https://maps.app.goo.gl/NnoCqLK6UHctP1Gu9,"-6.230861678169868, 106.80866427247179",-6.230861678,106.8086643
tfypc4ic5fmaa11kqziwhyajb95hfvkrvt1cdstzg3nykp280mjjimn,Abang Kepiting,Restoran Seafood,ctgry7hc1oq4or1ymwddw2bu8uan5ntfry089,Pontianak,"90,000.00",4.4,"Jl. Hijas, Benua Melayu Darat, Kec. Pontianak Sel., Kota Pontianak, Kalimantan Barat 78122",https://lh3.googleusercontent.com/p/AF1QipOHwc00liLqzrmNZbxtoInBlvhUJiTnUdWqH_5T=s1360-w1360-h1020,https://maps.app.goo.gl/2ozrHjeF6wDnp15F6,"-0.036121045410105225, 109.34425007116428",-0.03612104541,109.3442501
tfyk7ze71ah55wwfludrdt6e640caqfmqow88novbyitgkx3wiefdmn,Air Terjun Kali Pancur,"Kali Pancur Getasan merupakan kawasan wisata alam Air Terjun Kali Pancur ini berada di Desa Nogosaren, Kecamatan Getasan, Kabupaten Semarang, sekitar 14 km sebelah barat Kota Salatiga. Untuk menuju ke lokasi objek wisata ini tidak ada sarana transportasi umum, jadi harus membawa kendaraan sendiri.",ctgryla6bw54fikev61qdftdgpxbkctfry089,Semarang,"5,000.00",4.1,"JCRC+QC8, Gejayan, Nogosaren, Kec. Getasan, Kabupaten Semarang, Jawa Tengah 50774",https://lh3.googleusercontent.com/p/AF1QipOqtbxx04fEptrN_QgLRCBWRtJXTcGCBasIZwIO=s1360-w1360-h1020,https://www.google.com/maps/search/Air+Terjun+Kali+Pancur,"-7.357952653430819, 110.42169037246707",-7.357952653,110.4216904
tfymthh8yhx5f2e57phfbom2hy2z79kyz6d9u4hv95xjqqpsidi3cmn,Air Terjun Kedung Pedut,"Air Terjun Kedung Pedut atau biasa disebut Curug Kedung Pedut berasal dari istilah bahasa Jawa. Curug yang berarti air terjun, kedung berarti kubangan atau kolam, dan pedut berarti kabut. Air Terjun Kedung Pedut merupakan salah satu wisata alam yang di Kulonprogo yang dikenal karena keindahan warna airnya.",ctgryla6bw54fikev61qdftdgpxbkctfry089,Yogyakarta,"20,000.00",4.5,"Jl. Kutogiri Gunung Kelir, Kembang, Jatimulyo, Kec. Girimulyo, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55674",https://lh3.googleusercontent.com/p/AF1QipM6KSPTO8BXDfjDByp56LCiuhyo-eOwTmLZ24pW=s1360-w1360-h1020,https://www.google.com/maps/search/Air+Terjun+Kedung+Pedut,"-7.769833360154716, 110.12171443013833",-7.76983336,110.1217144
tfyh727sa0begarbxmjbpicmthh8yhx5f2e57phfbom2hy2z79kyzmn,Air Terjun Semirang,"Terletak di lereng Gunung Ungaran bagian utara, terdapat sebuah air terjun yang eksotis dengan kolam renang yang berwarna hijau yang dikelilingi popohonan dan kesejukan udara pegunungan. Nama lokasi tersebut adalah Air Terjun Semirang atau disebut juga Curug Semirang. Dan masyarakat Semarang menyebutnya dengan Curug Semarang. Karena keindahannya lokasi wisata ini sering dikunjungi oleh para wisatawan pada saat hari-hari biasa, apalagi saat liburan tiba. Air terjun Semirang atau Curug Semirang berada di kawasan hutan lindung dengan luas 10 hektar di bawah pengelolaan perum perhutani. Adapun air terjun ini memiliki ketinggian sekitar 45 meter. Jarak lokasi parkiran dengan lokasi air terjun sekitar 500 meter. Dan selama perjalanan, para pengunjung akan disuguhkan pemandangan alam yang masih asri dengan kesegaran udara yang sangat sejuk.",ctgryla6bw54fikev61qdftdgpxbkctfry089,Semarang,"9,000.00",4.4,"Loket wisata, Gogik, Kec. Ungaran Bar., Kabupaten Semarang, Jawa Tengah 50551",https://lh3.googleusercontent.com/p/AF1QipMx3uTIIKAvLR0cAnvEjJNIwrQoSXiUvHZNw8_Y=s1360-w1360-h1020,https://www.google.com/maps/search/Air+Terjun+Semirang,"-7.166078876937079, 110.38148642458991",-7.166078877,110.3814864
tfy3egicu4zocdrbeovaja1jzyi5h7asaieqo4j0vs0cm1szfcwxkmn,Air Terjun Sri Gethuk,"Air Terjun Sri Gethuk terletak di Desa Bleberan, Gunungkidul, Yogyakarta, Indonesia. Air terjun ini menawarkan keindahan alam yang memukau dengan air yang mengalir melalui tebing batu karang dan membentuk air terjun yang spektakuler. Pengunjung dapat menikmati panorama yang indah sambil merasakan semilir angin dan percikan air yang segar. Terdapat juga perahu bambu tradisional yang dapat digunakan untuk menjelajahi sungai yang mengalir di sekitar air terjun. Air Terjun Sri Gethuk adalah tempat yang populer untuk menikmati keindahan alam dan sensasi petualangan di tengah aliran air yang menyejukkan.",ctgryla6bw54fikev61qdftdgpxbkctfry089,Yogyakarta,"15,000.00",4.4,"Kecamatan Playen, Kabupaten Gunungkidul, Yogyakarta.",https://lh3.googleusercontent.com/p/AF1QipPJ3qYSJIVwQoFjPYtSzNnC1paXqvPX--QeE2t0=s1360-w1360-h1020-rw,https://www.google.com/maps/search/Air+Terjun+Sri+Gethuk,"-7.943000899725468, 110.48988379945322",-7.9430009,110.4898838
tfygzy924yg0lk7zd70ah55wwfludrct5e640caqfmqnw78noubyimn,Ale's Place Cipoho | Makanan Jepang Halal di Kota Sukabumi,Restoran Jepang,ctgry7hc1oq4or1ymwddw2bu8uan5ntfry089,Sukabumi,"95,000.00",4.5,"Perumahan Cipoho Indah, Jl. Gamelan No.2, Cikondang, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43142",https://lh3.googleusercontent.com/p/AF1QipOxn20A2l-gcprzkVgBd0ejLY0pr5Dn7C2O2KVs=s1360-w1360-h1020,https://maps.app.goo.gl/B7ckwh4DLY9muBnY7,"-6.935908569741746, 106.925182882487",-6.93590857,106.9251829
tfya2ollkodinyhgslnhyi32piwpjszonefx3cv9vbowomivt8x49mn,Alex's kitchen,Restoran,ctgry7hc1oq4or1ymwddw2bu8uan5ntfry089,Aceh,"145,000.00",4.4,"Jl. Sultan Malikul Saleh, Lam Lagang, Kec. Banda Raya, Kota Banda Aceh, Aceh 23117",https://lh5.googleusercontent.com/p/AF1QipO0mc7GGnsZGJ_JixJdudHfUgYNa9Fx7yzs0mAf=w449-h336-p-k-no,"https://www.google.com/maps/place/Alex's+kitchen/@5.5356463,95.3156501,17z/data=!3m1!4b1!4m6!3m5!1s0x30400ab956e951d1:0x42231d94d4a68aca!8m2!3d5.5356463!4d95.3156501!16s%2Fg%2F1pzr0n977?entry=ttu","5.535854536574871, 95.31566082883563",5.535854537,95.31566083
tfycu4zocdrbeovaja1jzyi5h7asaieqo4j0vs0cm1szfcwxky270mn,Alun-alun Utara Keraton Yogyakarta,Alun-alun utara atau dalam Bahasa Jawa disebut Alun-alun Lor merupakan salah satu land mark Kota Yogyakarta yang berupa sebuah tanah lapang yang berada di depan Keraton Yogyakarta. Disebut Alun-alun Lor karena di Kota Yogyakarta terdapat dua alun-alun yang letaknya di sebelah selatan dan utara dari Keraton Yogyakarta. Alun-alun Lor berbentuk persegi dengan luas 150 x 150 meter dengan dua pohon beringin besar berpagar yang berada di tengah alun-alun. Dua Pohon Beringin Besar itu masing-masing diberi nama Kyai Dewandaru dan Kyai Wijayandaru. Pada masa lalu di sekeliling Alun-alun Lor ditanam 63 Pohon Beringin yang melambangkan umur Nabi Muhammad SAW.,ctgry2l00j6i8btbjfsq5l2wt1dn2utfry089,Yogyakarta,"0,00",4.6,"Panembahan, Kraton, Yogyakarta City, Special Region of Yogyakarta",https://jogjakeren.com/wp-content/uploads/2022/08/alun-alun-utara.jpg,"https://www.google.com/maps/place/Yogyakarta+Northern+Square/@-7.8038975,110.3644232,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a578eff189057:0xfa69e0635f45b96d!8m2!3d-7.8038975!4d110.3644232!16s%2Fg%2F11d_d50f96?entry=ttu","-7.803828408427082, 110.36492745527504",-7.803828408,110.3649275
tfyphfbom1gx2z79jyz6d9t4hv85xjpqpsidi3cbmprl2d8xkm0knmn,Alyssa Restaurant Pizza,Restoran Barbeque,ctgry7hc1oq4or1ymwddw2bu8uan5ntfry089,Samosir,"350,000.00",4.4,"Tuktuk Siadong, Simanindo, Kabupaten Samosir, Sumatera Utara 22395",https://lh3.googleusercontent.com/p/AF1QipMbNUWQrVkFUGvgDYYgbARHEamI2id9rZbpPZGD=s1360-w1360-h1020,https://maps.app.goo.gl/V3wZXtehzi8BLFDp7,"2.671332822403669, 98.85598328465713",2.671332822,98.85598328
