tourism_id,tourism_name,tourism_description,category,city,price,rating,tourism_location,tourism_image,tourism_gmaps
tfymjbpicmthh8yhx5f2e57phfbom2hy2z79kyz6d9u4hv95xjqqpmn,Taman Nasional Gunung Leuser,"Taman Nasional Gunung Leuser adalah salah satu dari enam taman nasional yang terletak di Pulau Sumatera, Indonesia. Taman nasional ini merupakan salah satu kawasan lindung yang penting bagi flora dan fauna endemik, termasuk spesies langka seperti orangutan Sumatera, harimau Sumatera, dan gajah Sumatera.",ctgryeb3hb4el990rapy8v7x0ia84gtfry089,Aceh,"25,000.00",4.5,"Barisan mountain range, Aceh 24653",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Taman_Nasional_Gunung_Leuser.jpg/1280px-Taman_Nasional_Gunung_Leuser.jpg,https://www.google.com/maps/search/Taman+Nasional+Gunung+Leuser
tfysidi3ccnprl3d8xlm0knx4jsjas87reqgj1jrnzxds9419lva1mn,Desa Wisata Munduk,"Desa Wisata Munduk adalah sebuah desa di pegunungan Bali yang terkenal dengan keindahan alamnya. Desa ini dikelilingi oleh perkebunan kopi, kakao, dan rempah-rempah, serta memiliki udara segar dan pemandangan yang menakjubkan. Di Desa Wisata Munduk, pengunjung dapat menikmati keindahan alam, trekking, melihat air terjun, dan menjelajahi kehidupan desa yang tenang.",ctgryeu9qus02crsy52mxao1xqciihtfry089,Bali,"10,000.00",4.5,"Munduk, Banjar, Kabupaten Buleleng, Bali",https://akcdn.detik.net.id/community/media/visual/2021/10/21/danau-tamblingan-bedugul-bali_169.jpeg?w=700&q=90,https://goo.gl/maps/LyeJ2mAeFGysTE9v9
tfy8ol56t7bg9v1104kotenny13xepj8wycwz86u3ll4ai2g1iucumn,Desa Wisata Penglipuran,Desa Wisata,ctgryeu9qus02crsy52mxao1xqciihtfry089,Bali,"25,000.00",4.8,"Jl. Penglipuran, Kubu, Kec. Bangli, Kabupaten Bangli, Bali 80611",https://akcdn.detik.net.id/community/media/visual/2021/09/08/desa-panglipuran-bali_169.jpeg?w=700&q=90,https://www.google.com/maps/search/Desa+Wisata+Penglipuran
tfy2ybzf3bfckw6cdj0wgi49msk63326v05gzy924zg0lk7ze71ahmn,Taman Nasional Bali Barat,"Taman Nasional Bali Barat adalah kawasan konservasi alam yang terletak di pesisir barat Pulau Bali. Taman nasional ini terkenal karena keindahan alamnya yang meliputi hutan tropis, pegunungan, dan ekosistem pesisir. Kawasan ini juga menjadi rumah bagi berbagai spesies satwa liar yang dilindungi, seperti banteng Bali, kijang, dan burung Jalak Bali.",ctgryeb3hb4el990rapy8v7x0ia84gtfry089,Bali,"15,000.00",4.5,"Sumber Klampok, Bali",https://cdn0-production-images-kly.akamaized.net/EQZN28hd2WL7VupMMcF7L3savMI=/1280x720/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/946141/original/006808500_1438716308-20150805_Taman_Nasional_Bali_Barat_kenaikan_Tarif_Masuk_Denpasar.jpg,https://www.google.com/maps/search/Taman+Nasional+Bali+Barat
tfy55wwfludrdt6e640caqfmqow88novbyitgkx3wiefdh727sa0bmn,Bukit Jamur,"Bukit Jamur Ciwidey adalah satu dari sekian banyak pesona wisata alam yang berada di Kecamatan Ciwidey, Kabupaten Bandung, Provinsi Jawa barat. Bukit Jamur Ciwidey memang memiliki khas wisata Ciwidey, yaitu objek wisata di tengah hamparan kebun teh, dengan udara yang sangat sejuk.Suasana saat kabut turun di area perkebunan membuat suasana menjadi romatis. Bukit Jamur Ciwidey suasananya cocok juga bagi jomblowan â€“ jomblowati, banyak spot dengan latar alam yang indah, yang dimungkinkan mampu melupakan sang mantan.",ctgryla6bw54fikev61qdftdgpxbkctfry089,Bandung,"12,000.00",4.2,"Sugihmukti, Kec. Pasirjambu, Kabupaten Bandung, Jawa Barat 40972",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/p1/946/2023/11/20/Sky-bridge-salah-satu-spot-foto-di-Bukit-Jamur-Rancabolang-Ciwidey-Bandung-2808710257.jpg,https://www.google.com/maps/search/Bukit+Jamur
tfyegarbxmjbpicmthh8yhx5f2e57phfbom2hy2z79kyz6d9u4hv9mn,Bukit Moko,"Bandung sebagai destinasi wisata tak pernah ada habisnya. Didukung dengan lanskap yang cantik, kawasan Bandung mampu menarik perhatian wisatawan. Baik dari segi alam, budaya, kuliner, dan seni kreatif secara bersamaan. Dari sekian banyak tempat wisata yang tersedia, Bukit Moko Bandung menjadi salah satu yang cukup populer namanya dalam beberapa tahun belakangan. Berada di ketinggian sekitar 1500 mdpl, Bukit Moko memiliki cuaca yang sejuk. Bagi pengunjung yang tidak biasa di cuaca ini, ada baiknya membawa jaket tebal apalagi jika datang saat musim penghujan.",ctgryla6bw54fikev61qdftdgpxbkctfry089,Bandung,"25,000.00",4.5,"Cimenyan, Kabupaten Bandung, Jawa Barat 40197 Indonesia",https://assets.promediateknologi.id/crop/0x496:1080x1133/750x500/webp/photo/2022/12/15/2073574845.png,https://www.google.com/maps/search/Bukit+Moko
tfy5xjqqpsidi3ccnprl3d8xlm0knx4jsjas87reqgj1jrnzxds94mn,Curug Bugbrug,"Curug Bugbrug Sesuai dengan namanya kata Bugbrug dalam bahasa sunda adalah berarti bertumpuk atau tumpah tindih. Jadi apabila Anda ditanya kenapa air terjun di bandung ini dinamai Curug Bugbrug Maka jawabannya ialah karena air yang jatuh dari atas ke bawah itu seperti terlihat bertumpuk-tumpuk. Dan jatuhnya tersebut terdengar suara di dasar curug seperti â€ brugâ€¦brugâ€¦brug â€ begitu saking kerasnya. Curug yang berada di ketinggian 1.050 meter di atas permukaan air laut, memiliki ketinggian dari 50 meter tingginya dan lebar curug sekitar 2 meter. Tempat ini menjadi pusat buruan wisatawan yang berlibur ke bandung.",ctgryla6bw54fikev61qdftdgpxbkctfry089,Bandung,"7,500.00",4.3,"Jalan Kolonel Masturi, Desa Kertawangi, Kecamatan Cisarua, Kabupaten Bandung Barat, Jawa Barat, Indonesia.",https://tourbandung.id/wp-content/uploads/2018/11/34.-Curug-Bugbrug-Bandung.jpeg,https://www.google.com/maps/search/Curug+Bugbrug
tfy19lva18ol56t7bg9v1104kotenny13xepj8wycwz86u3ll4ai2mn,Curug Cilengkrang,"Curug Cilengkrang bisa menjadi pilihan tujuan objek wisata alam di Bandung. Menawarkan area hutan sejuk serta area air terjun yang menyegarkan. Meski tidak besar, kawasan air terjun cukup bisa untuk menenangkan dan kembali menyegarkan wisatawan. Seolah bertolak belakang dari hingar bingar kota Bandung. Curug Cilengkrang menawarkan wisata alam yang tenang dan begitu hijau. Air terjun yang mempesona, serta hutan dengan pepohonan yang begitu asri. Dimana, tempat ini juga menjadi habitat hidup berbagai satwa liar yang masih terjaga.",ctgryla6bw54fikev61qdftdgpxbkctfry089,Bandung,"7,500.00",4,"Cilengkrang, Kabupaten Bandung, Jawa Barat 40615",https://www.itb.ac.id/files/dokumentasi/1682997470-Membangkitkan-Potensi-Wisata-Curug-Cilengkrang-Mahasiswa-ITB-Lakukan-Perbaikan-Fasilitas.jpg,https://www.google.com/maps/search/Curug+Cilengkrang
tfyg1iucu2ybzf3bfckw6cdj0wgi49msk63326v05gzy924zg0lk7mn,Curug Cimahi,"Curug Cimahi adalah air terjun yang terletak di Jalan Kolonel Masturi, Desa Kertawangi, Kecamatan Cisarua, Kabupaten Bandung Barat, Jawa Barat. Dengan ketinggian sekitar 87 meter, menjadikan air terjun ini sebagai salah satu curug tertinggi di wilayah Bandung dan sekitarnya. Nama Cimahi berasal dari nama sungai yang mengalir di atasnya yaitu Sungai Cimahi yang berhulu di Situ (danau) Lembang dan mengalir ke Kota Cimahi. Destinasi wisata ini berjarak kurang lebih 10 kilometer dari Kota Cimahi ke arah Lembang atau 20 kilometer dari Kota Bandung.",ctgryla6bw54fikev61qdftdgpxbkctfry089,Bandung,"20,000.00",4.1,"5H78+Q6J Villa Katumiri, Jl. Cihanjuang, Padaasih, Kec. Cisarua, Kota Cimahi, Jawa Barat 40551",https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Curug_Cimahi%2C_25-04-2015.jpg/1280px-Curug_Cimahi%2C_25-04-2015.jpg,https://www.google.com/maps/search/Curug+Cimahi
tfyze71ah55wwfludrdt6e640caqfmqow88novbyitgkx3wiefdh7mn,Curug Cipanas,"Siapa bilang berendam air panas harus merogoh kocek dalam? Kabupaten Bandung Barat punya solusi bagi pelancong yang ingin merasakan manfaat air panas pegunungan asli tanpa harus membayar mahal. Adalah Curug Cipanas Nagrak, objek wisata alam yang menawarkan pemandian air panas alami. Pemandian air panas ini bahkan tidak hanya sekadar kolam, melainkan berupa air terjun alami di tengah kawasan perkebunan. Mata airnya mengalir deras menjadi sebuah air terjun kecil di tengah lahan perbukitan hijau. Pengunjung akan merasakan sensasi berendam di kolam air panas yang nyaman di tengah alam terbuka.",ctgryla6bw54fikev61qdftdgpxbkctfry089,Bandung,"25,000.00",4,"Jl. Nagrak Tengah, Sukajaya, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391",https://i0.wp.com/tvberita.co.id/wp-content/uploads/2023/12/IMG_20231229_153712.jpg?w=720&ssl=1,https://www.google.com/maps/search/Curug+Cipanas
